Nombre,Departamento,Provincia,Distrito,Direccion,Estado,Capacidad operativa,Fecha de Publicación,Proyecto,Url,Url Img,Fuente,Tipo Cdi,area,Descripcio,Ccpp,Operador,Fecha Doc,Id Entidad,Id Documento,Id Documento1,Observaciones,Departamento,Provincia,Distrito
CPNP Pachacutec,Callao,Callao,Ventanilla,Sin dato,-,,1.6665E+12,Perú: VI Censo Nacional de Comisarías 2017 - Resultados definitivos,https://sigrid.cenepred.gob.pe/sigridv3/documento/14764,https://sigrid.cenepred.gob.pe/sigridv3/storage/biblioteca/14764_img.jpg,PNP_INEI,Comisarias,,,,Ccampos,,,,,Aprobado con Resolución de Direccion General de la Policía Nacional N° 276-2018-DIRGEN/SUB.DG-PNP 23JUL2018,,,
CPNP Villa los reyes,Callao,Callao,Ventanilla,Sin dato,-,,1.6665E+12,Perú: VI Censo Nacional de Comisarías 2017 - Resultados definitivos,https://sigrid.cenepred.gob.pe/sigridv3/documento/14764,https://sigrid.cenepred.gob.pe/sigridv3/storage/biblioteca/14764_img.jpg,PNP_INEI,Comisarias,,,,Ccampos,,,,,Aprobado con Resolución de Direccion General de la Policía Nacional N° 276-2018-DIRGEN/SUB.DG-PNP 23JUL2018,,,
CPNP La pascana,Lima,Lima,Comas,Sin dato,-,,1.6665E+12,Perú: VI Censo Nacional de Comisarías 2017 - Resultados definitivos,https://sigrid.cenepred.gob.pe/sigridv3/documento/14764,https://sigrid.cenepred.gob.pe/sigridv3/storage/biblioteca/14764_img.jpg,PNP_INEI,Comisarias,,,,Ccampos,,,,,Aprobado con Resolución de Direccion General de la Policía Nacional N° 276-2018-DIRGEN/SUB.DG-PNP 23JUL2018,,,
CPNP Santa luzmila,Lima,Lima,Comas,Sin dato,-,,1.6665E+12,Perú: VI Censo Nacional de Comisarías 2017 - Resultados definitivos,https://sigrid.cenepred.gob.pe/sigridv3/documento/14764,https://sigrid.cenepred.gob.pe/sigridv3/storage/biblioteca/14764_img.jpg,PNP_INEI,Comisarias,,,,Ccampos,,,,,Aprobado con Resolución de Direccion General de la Policía Nacional N° 276-2018-DIRGEN/SUB.DG-PNP 23JUL2018,,,
CPNP Universitaria,Lima,Lima,Comas,Sin dato,-,,1.6665E+12,Perú: VI Censo Nacional de Comisarías 2017 - Resultados definitivos,https://sigrid.cenepred.gob.pe/sigridv3/documento/14764,https://sigrid.cenepred.gob.pe/sigridv3/storage/biblioteca/14764_img.jpg,PNP_INEI,Comisarias,,,,Ccampos,,,,,Aprobado con Resolución de Direccion General de la Policía Nacional N° 276-2018-DIRGEN/SUB.DG-PNP 23JUL2018,,,
CPNP Tupac amaru,Lima,Lima,Comas,Sin dato,-,,1.6665E+12,Perú: VI Censo Nacional de Comisarías 2017 - Resultados definitivos,https://sigrid.cenepred.gob.pe/sigridv3/documento/14764,https://sigrid.cenepred.gob.pe/sigridv3/storage/biblioteca/14764_img.jpg,PNP_INEI,Comisarias,,,,Ccampos,,,,,Aprobado con Resolución de Direccion General de la Policía Nacional N° 276-2018-DIRGEN/SUB.DG-PNP 23JUL2018,,,
CPNP Independencia,Lima,Lima,Independencia,Sin dato,-,,1.6665E+12,Perú: VI Censo Nacional de Comisarías 2017 - Resultados definitivos,https://sigrid.cenepred.gob.pe/sigridv3/documento/14764,https://sigrid.cenepred.gob.pe/sigridv3/storage/biblioteca/14764_img.jpg,PNP_INEI,Comisarias,,,,Ccampos,,,,,Aprobado con Resolución de Direccion General de la Policía Nacional N° 276-2018-DIRGEN/SUB.DG-PNP 23JUL2018,,,
CPNP Payet,Lima,Lima,Independencia,Sin dato,-,,1.6665E+12,Perú: VI Censo Nacional de Comisarías 2017 - Resultados definitivos,https://sigrid.cenepred.gob.pe/sigridv3/documento/14764,https://sigrid.cenepred.gob.pe/sigridv3/storage/biblioteca/14764_img.jpg,PNP_INEI,Comisarias,,,,Ccampos,,,,,Aprobado con Resolución de Direccion General de la Policía Nacional N° 276-2018-DIRGEN/SUB.DG-PNP 23JUL2018,,,
CPNP Laura caller iberico,Lima,Lima,Los olivos,Sin dato,-,,1.6665E+12,Perú: VI Censo Nacional de Comisarías 2017 - Resultados definitivos,https://sigrid.cenepred.gob.pe/sigridv3/documento/14764,https://sigrid.cenepred.gob.pe/sigridv3/storage/biblioteca/14764_img.jpg,PNP_INEI,Comisarias,,,,Ccampos,,,,,Aprobado con Resolución de Direccion General de la Policía Nacional N° 276-2018-DIRGEN/SUB.DG-PNP 23JUL2018,,,
CPNP Oquendo,Callao,Callao,Callao,Sin dato,-,,1.6665E+12,Perú: VI Censo Nacional de Comisarías 2017 - Resultados definitivos,https://sigrid.cenepred.gob.pe/sigridv3/documento/14764,https://sigrid.cenepred.gob.pe/sigridv3/storage/biblioteca/14764_img.jpg,PNP_INEI,Comisarias,,,,Ccampos,,,,,Aprobado con Resolución de Direccion General de la Policía Nacional N° 276-2018-DIRGEN/SUB.DG-PNP 23JUL2018,,,
CPNP Ventanilla,Callao,Callao,Ventanilla,Sin dato,-,,1.6665E+12,Perú: VI Censo Nacional de Comisarías 2017 - Resultados definitivos,https://sigrid.cenepred.gob.pe/sigridv3/documento/14764,https://sigrid.cenepred.gob.pe/sigridv3/storage/biblioteca/14764_img.jpg,PNP_INEI,Comisarias,,,,Ccampos,,,,,Aprobado con Resolución de Direccion General de la Policía Nacional N° 276-2018-DIRGEN/SUB.DG-PNP 23JUL2018,,,
Brigadier CBP Alejandro Reyes Leon,Callao,Callao,Mi Peru,Av. Puno S/N,,41,,,,,PNP_INEI,,,,,,,,,,,CALLAO,CALLAO,MI PERU
CPNP Marquez,Callao,Callao,Callao,Sin dato,-,,1.6665E+12,Perú: VI Censo Nacional de Comisarías 2017 - Resultados definitivos,https://sigrid.cenepred.gob.pe/sigridv3/documento/14764,https://sigrid.cenepred.gob.pe/sigridv3/storage/biblioteca/14764_img.jpg,PNP_INEI,Comisarias,,,,Ccampos,,,,,Aprobado con Resolución de Direccion General de la Policía Nacional N° 276-2018-DIRGEN/SUB.DG-PNP 23JUL2018,,,
Salvadora Callao,Callao,Callao,Callao,Ca. Misionero San Martin,,154,,,,,PNP_INEI,,,,,,,,,,,CALLAO,CALLAO,CALLAO
Adolfo Martin King Leoane,Callao,Callao,Ventanilla,Av. Panama Mz K Lt 1,,33,,,,,PNP_INEI,,,,,,,,,,,CALLAO,CALLAO,VENTANILLA
Pachacutec,Callao,Callao,Ventanilla,Pachacutec Mz A Lt 2A,,22,,,,,PNP_INEI,,,,,,,,,,,CALLAO,CALLAO,VENTANILLA
Brig. julio ipiachihua cardenas,Lima,Lima,Puente Piedra,José Gálvez No. 315,,95,,,,,PNP_INEI,,,,,,,,,,,LIMA,LIMA,PUENTE PIEDRA
CPNP Santa isabel,Lima,Lima,Carabayllo,Sin dato,-,,1.6665E+12,Perú: VI Censo Nacional de Comisarías 2017 - Resultados definitivos,https://sigrid.cenepred.gob.pe/sigridv3/documento/14764,https://sigrid.cenepred.gob.pe/sigridv3/storage/biblioteca/14764_img.jpg,PNP_INEI,Comisarias,,,,Ccampos,,,,,Aprobado con Resolución de Direccion General de la Policía Nacional N° 276-2018-DIRGEN/SUB.DG-PNP 23JUL2018,,,
CPNP Carabayllo,Lima,Lima,Carabayllo,Sin dato,-,,1.6665E+12,Perú: VI Censo Nacional de Comisarías 2017 - Resultados definitivos,https://sigrid.cenepred.gob.pe/sigridv3/documento/14764,https://sigrid.cenepred.gob.pe/sigridv3/storage/biblioteca/14764_img.jpg,PNP_INEI,Comisarias,,,,Ccampos,,,,,Aprobado con Resolución de Direccion General de la Policía Nacional N° 276-2018-DIRGEN/SUB.DG-PNP 23JUL2018,,,
San Miguel,Lima,Lima,San Miguel,Sin dato,-,Sin dato,,Sin dato,,,CGBVP,Bomberos,,,,,,,,,,,,
San Isidro,Lima,Lima,San Isidro,Sin dato,-,Sin dato,,Sin dato,,,CGBVP,Bomberos,,,,,,,,,,,,
San Borja,Lima,Lima,San Borja,Sin dato,-,Sin dato,,Sin dato,,,CGBVP,Bomberos,,,,,,,,,,,,
Miraflores,Lima,Lima,Miraflores,Sin dato,-,Sin dato,,Sin dato,,,CGBVP,Bomberos,,,,,,,,,,,,
Cosmopolita,Lima,Lima,San borja,Calle Galeno S/N,,171,,,,,PNP_INEI,,,,,,,,,,,LIMA,LIMA,SAN BORJA
Miraflores,Lima,Lima,Miraflores,Av. Mariscal Caceres No. 170,,204,,,,,PNP_INEI,,,,,,,,,,,LIMA,LIMA,MIRAFLORES
